Generic,Name,Company,Strength,Price
Cefadroxil Monohydrate,1stCef,Medimet Pharmaceuticals Ltd.,500 mg,12.00
Cefixime Trihydrate,3-C,Edruc Ltd.,200 mg,35.00
Cefixime Trihydrate,3-C,Edruc Ltd.,100 mg/5 ml,195.00
Cefixime Trihydrate,3-C,Edruc Ltd.,400 mg,48.00
Levofloxacin (Oral),3-F,Edruc Ltd.,500 mg,14.00
Cefixime Trihydrate,3-Geocef,Hallmark Pharmaceuticals Ltd.,200 mg,30.00
Cefixime Trihydrate,3-Geocef,Hallmark Pharmaceuticals Ltd.,100 mg/5 ml,175.00
"Vitamin B1, B6 & B12",3Bion,Julphar Bangladesh Ltd.,100 mg+200 mg+200 mcg,8.00
Cefixime Trihydrate,3RD Cef,Medimet Pharmaceuticals Ltd.,200 mg,27.00
Cefixime Trihydrate,3RD Cef,Medimet Pharmaceuticals Ltd.,400 mg,50.00
Cefixime Trihydrate,3RD Cef,Medimet Pharmaceuticals Ltd.,100 mg/5 ml,130.00
5-Fluorouracil [5-FU],5 FU PhaRes,ZAS Corporation,25 mg/ml,457.00
5-Fluorouracil [5-FU],5-Fluril,Techno Drugs Ltd.,25 mg/ml,55.00
Ulipristal Acetate [For emergency contraception],5X,Renata Limited,30 mg,195.90
Thiamine Hydrochloride,A-B1,ACME Laboratories Ltd.,100 mg,0.86
Calcium Carbonate,A-Cal,ACME Laboratories Ltd.,500 mg,5.00
Calcium Carbonate,A-Cal,ACME Laboratories Ltd.,250 mg,1.50
Calcium Carbonate,A-Cal,ACME Laboratories Ltd.,250 mg,1.00
Calcium Carbonate [Elemental] + Vitamin D3,A-Cal D,ACME Laboratories Ltd.,500 mg+200 IU,6.50
Calcium Carbonate [Elemental] + Vitamin D3,A-Cal DX,ACME Laboratories Ltd.,500 mg+400 IU,7.50
Tolperisone Hydrochloride,A-Calm,ACME Laboratories Ltd.,50 mg,6.00
Isosorbide Mononitrate,A-Card,ACME Laboratories Ltd.,20 mg,1.43
Betacarotene + Vitamin C + Vitamin E,A-Care,Asiatic Laboratories Ltd.,6 mg+200 mg+50 mg,2.50
Cloxacillin,A-Clox,ACME Laboratories Ltd.,500 mg,5.98
Cloxacillin,A-Clox,ACME Laboratories Ltd.,125 mg/5 ml,44.97
Cloxacillin,A-Clox,ACME Laboratories Ltd.,250 mg/vial,20.00
Cloxacillin,A-Clox,ACME Laboratories Ltd.,500 mg/vial,28.43
Dextromethorphan + Pseudoephedrine + Triprolidine,A-Cof,ACME Laboratories Ltd.,(10 mg+30 mg+1.25 mg)/5 ml,100.00
Bromhexine Hyrdochloride,A-Cold,ACME Laboratories Ltd.,4 mg/5 ml,40.12
Diclofenac Sodium,A-Fenac,ACME Laboratories Ltd.,25 mg,0.55
Diclofenac Sodium,A-Fenac,ACME Laboratories Ltd.,50 mg,0.84
Diclofenac Sodium,A-Fenac,ACME Laboratories Ltd.,75 mg/3 ml,14.10
Diclofenac Sodium,A-Fenac,ACME Laboratories Ltd.,12.5 mg,8.07
Diclofenac Sodium,A-Fenac,ACME Laboratories Ltd.,50 mg,14.10
Diclofenac Sodium,A-Fenac,ACME Laboratories Ltd.,1.16% w/w,13.09
Diclofenac Potassium,A-Fenac K,ACME Laboratories Ltd.,50 mg,3.01
Diclofenac Sodium + Lidocaine Hydrochloride,A-Fenac Plus,ACME Laboratories Ltd.,(75 mg+20 mg)/2 ml,14.10
Diclofenac Sodium,A-Fenac SR,ACME Laboratories Ltd.,100 mg,3.01
Flucloxacillin Sodium,A-Flox,ACME Laboratories Ltd.,250 mg,5.66
Flucloxacillin Sodium,A-Flox,ACME Laboratories Ltd.,500 mg,10.58
Flucloxacillin Sodium,A-Flox,ACME Laboratories Ltd.,125 mg/5 ml,61.61
Flucloxacillin Sodium,A-Flox,ACME Laboratories Ltd.,500 mg/vial,45.30
Flucloxacillin Sodium,A-Flox,ACME Laboratories Ltd.,250 mg/vial,35.25
Vitamin A,A-Forte,Globe Pharmaceuticals Ltd.,50000 IU,1.90
Mifepristone + Misoprostol,A-Kit,ACME Laboratories Ltd.,200 mg+200 mcg,300.00
Mebeverine Hydrochloride,A-Meb,ACME Laboratories Ltd.,135 mg,6.01
Ivermectin (Oral),A-Mectin,ACME Laboratories Ltd.,6 mg,15.00
Ivermectin (Oral),A-Mectin,ACME Laboratories Ltd.,12 mg,25.00
Miconazole Nitrate (Oral Gel),A-Migel,ACME Laboratories Ltd.,2% w/w,52.16
Erythromycin (Lotion),A-Mycin,Aristopharma Ltd.,3%,120.00
Erythromycin (Oral),A-Mycin,Aristopharma Ltd.,250 mg,5.15
Erythromycin (Oral),A-Mycin,Aristopharma Ltd.,500 mg,9.00
Erythromycin (Oral),A-Mycin,Aristopharma Ltd.,125 mg/5 ml,84.75
Erythromycin (Oral),A-Mycin,Aristopharma Ltd.,250 mg/5 ml,100.00
Erythromycin (Oral),A-Mycin,Aristopharma Ltd.,200 mg/5 ml,60.00
Paracetamol,A-One,Apex Pharmaceuticals Ltd.,120 mg/5 ml,20.59
Paracetamol + Caffeine,A-One Plus,Apex Pharmaceuticals Ltd.,500 mg+65 mg,1.50
Paracetamol,A-One XR,Apex Pharmaceuticals Ltd.,665 mg,1.51
Aceclofenac,A-Pak,Benham Pharmaceuticals Ltd.,100 mg,4.00
Chloramphenicol,A-Phenicol,ACME Laboratories Ltd.,0.5%,34.50
Chloramphenicol,A-Phenicol,ACME Laboratories Ltd.,1%,11.70
Dexamethasone + Chloramphenicol,A-Phenicol D,ACME Laboratories Ltd.,0.1%+0.5%,70.21
Roxithromycin,A-Rox,Ambee Pharmaceuticals Ltd.,150 mg,6.53
Roxithromycin,A-Rox,Ambee Pharmaceuticals Ltd.,300 mg,11.04
Roxithromycin,A-Rox,Ambee Pharmaceuticals Ltd.,50 mg/5 ml,45.14
Oxyphenonium Bromide,A-Spasm,ACME Laboratories Ltd.,5 mg,1.44
Tetracycline Hydrochloride (Oral),A-Tetra,ACME Laboratories Ltd.,500 mg,3.39
Tetracycline Hydrochloride (Oral),A-Tetra,ACME Laboratories Ltd.,500 mg,2.30
Tetracycline Hydrochloride (Ophthalmic),A-Tetra,ACME Laboratories Ltd.,1%,8.50
Pancreatin,A-Zyme,ACME Laboratories Ltd.,325 mg,3.51
Mifepristone + Misoprostol,AB Kit,Renata Limited,200 mg+200 mcg,300.00
Albendazole,AB-DS,Prime Pharmaceuticals Ltd.,400 mg,3.00
Cephradine,Abac,Chemist Laboratories  Ltd.,500 mg,12.50
Cephradine,Abac,Chemist Laboratories  Ltd.,125 mg/5 ml,81.92
Cephradine,Abac,Chemist Laboratories  Ltd.,125 mg/1.25 ml,50.00
Cefaclor Monohydrate,Abaclor,ACI Limited,500 mg,40.27
Cefaclor Monohydrate,Abaclor,ACI Limited,125 mg/5 ml,201.35
Cefaclor Monohydrate,Abaclor,ACI Limited,125 mg/1.25 ml,125.85
Insulin Glargine [rDNA],Abasaglar,Eli Lilly and Company,100 IU/ml,"1,079.47"
Insulin Glargine [rDNA],Abasaglar,Eli Lilly and Company,100 IU/ml,727.22
