Generic,Name,Description,Indication,Dosage,Preparation
Aceclofenac,Flexi®,NSAIDs and Antigout Preparations,"Osteoarthritis, rheumatoid arthritis and ankylosing spondylitis",Flexi: 100 mg twice daily; Flexi SR: 200 mg once daily.,"Flexi Tablet: Box containing 10 x 10 tablets in Alu-Alu blister pack; 
Flexi SR Tablet : Box containing 3 x 10 tablets in Alu-PVDC blister pack."
Acetylcysteine USP,Tylace™,Mucolytic Agent,"- As an adjunctive treatment for patients with abnormal, viscid or inspissated mucus secretion associated with conditions such as- Acute & chronic bronchopulmonary disorders (Pneumonia, Bronchitis, Laryngitis, Sinusitis, Tracheitis, Influenza, Emphysema, Tracheobronchitis, Chronic asthmatic bronchitis, Tuberculosis etc.), Atelectasis , Pulmonary complication of cystic fibrosis, Pulmonary complication of thoracic & cardiovascular surgery.
- As an antidote in Paracetamol overdose 
","As Mucolytic : 
Adults and children over 6 years: 1 Tablet daily

In Paracetamol overdose : 
Initially 140 mg/kg, followed by 70 mg/kg in every 4 hours for an additional 17 doses

Dissolve 1 Tablet in a glass of water (200 ml)
",Each container contains 10 effervescent tablets.
Aciclovir,Virux®,"Systemic Antifungal, Antiviral and Antiprotozoal Agents","For the treatment of viral infections due to herpes simplex virus  (type I & II) and varicella zoster virus (herpes zoster & chickenpox).
For the treatment of herpes simplex virus infections of the skin and mucous membranes including initial and recurrent genital herpes. 
For the prophylaxis of herpes simplex infections in immunocompromised patients. 
","Treatment of initial herpes simplex: 200 mg 5 times daily usually for 5 days. For immunocompromised patients 400 mg 5 times daily for 5 days (longer if new lesions appear during treatment or if healing incomplete; increase dose to 800 mg 5 times daily for genital herpes in immuno-compromised) or as directed by the registered physician.
Children under 2 years: half of the adults dose.
Children over 2 years: Adult dose.
Prevention of recurrence of herpes simplex: 200 mg 4 times daily or 400 mg twice daily possibly reduced to 200 mg 2 or 3 times daily and interrupted every 6-12 months.
Children under 2 years: Half of the adult dose.
Children over 2 years: Adult dose.
Prophylactic treatment of herpes simplex in the immunocompromised: 200 to 400 mg 4 times daily.
Children under 2 years: Half of the adult dose.
Children over 2 years: Adult dose.
Treatment of vericella (chicken pox): Adult and children over 40 kg - 800 mg 4 times daily for 5 days.
Children below 40 kg: 20 mg / kg (maximum 800 mg) per dose orally 4 times daily (80 mg / kg/day) for 5 days. 
Or, Children under 2 years : 200 mg 4 times daily
Children 2-5 years  : 400 mg 4 times daily 
Children Over 6 years : 800 mg 4 times daily
Treatment of herpes zoster (Shingles): 800 mg 5 times daily for 7 days. 
Treatment of initial rectal (Proctitis) herpes infections: An oral Aciclovir dosage of 400 mg 5 times daily for 10 days or until clinical resolution occurs has been recommended.
Cream : Virux® cream should be applied to lesions or impending lesions 5 times daily (at 4 hourly intervals omitting the night-time dose). Treatment should continue for 5 days. If healing does not occur, treatment may be extended for up to 10 days.
Children :
HSV infections in children over 2 years should be given adult doses and children below 2 years should be given half of the adult dose.","Virux® tablet : Box containing 3 x 10 tablets in blister pack.
Virux® cream : Tube containing 5 g of 
Virux® cream."
Aciclovir,Virux Tablet®,Topical Preparations,"Virux® 200 : Each box containing 3X10 tablets in blister pack.
Virux® 400 : Each box containing 2X10 tablets in blister pack.",,
Aciclovir BP 5% & Hydrocortisone BP 1%,Virux® HC,Topical viral infection products,Virux® HC Cream is indicated for the early treatment of recurrent herpes labialis (cold sores) to reduce the likelihood of ulcerative cold sores and to shorten the lesion healing time in adults and children (6 years of age and older).,The cream should be topically applied 5 times per day for 5 days. Therapy should be initiated as early as possible after the first signs and symptoms.,Virux® HC Cream: Each Laminated tube contains 10 gram cream.
Acyclovir USP,Virux® IV Injection,Systemic Antiviral,"Following are the indications of Virux® 500 IV Injection: 
• Herpes simplex encephalitis
• Acute clinical manifestations of mucocutaneous 
• Herpes simplex virus infections in immunocompromised patients
• Severe primary or non-primary genital herpes in immune competent patients
• Varicella zoster virus infection in immunocompromised patients
• Herpes zoster (shingles) in immune competent patients who show very severe acute local or systemic manifestations of the disease
","For normal or immunocompromised adult patients with Herpes simplex infection, the recommended dosage is 5 mg/kg every 8 hours. For very severe Herpes zoster infection (shingles) with normal immune system, the recommended dosage is 5 mg/kg every 8 hours and for immune compromised patients, dosage recommendation is 10 mg/kg every 8 hours. For Herpes simplexencephalitis, the recommended dosage is 10 mg/kg every 8 hours. For neonates, the recommended dosage is 10-20 mg/kg every 8 hours. For children from 1 year to 12 years, the recommended dosage is 5 mg/kg every 8 hours for Herpes simplex infections and 10 mg/kg every 8 hours for Varicella zoster virus infection or with Herpes simplex encephalitis. Each dose should be administered by slow intravenous infusion over an one-hour period.","Virux® 500 IV Injection: Each combipack contains one vial of Acyclovir 500 mg accompanied with 100 ml 0.9 % Sodium Chloride solution (SoloTM), one infusion set, one alcohol prep. pad, one first aid band & one 10 ml sterile disposable syringe."
Adapalene,Fona®,Topical Preparations,Acne.,Once daily at night-time.,"Fona® 0.1% cream: Each pack has a laminated tube containing 10 gm cream.
Fona® 0.3% gel: Each pack has a laminated tube containing 10 gm gel."
Adapalene+Benzoyl peroxide,Fona plus®,Topical Preparations,"FonaTM Plus Gel is indicated for the topical treatment of acne vulgaris in patients 12 years of age and
older.","Apply a thin film of FonaTM Plus Gel to affected areas of the face and/or trunk once daily after washing.
Use a pea-sized amount for each area of the face (e.g., forehead, chin, each cheek). Avoid the eyes, lips
and mucous membranes.
FonaTM Plus Gel is not for oral, ophthalmic, or intravaginal use.
",
Adefovir Dipivoxil ,Antiva®,"Systemic Antifungal, Antiviral and Antiprotozoal Agents",Antiva® is indicated for the treatment of chronic hepatitis B in adults with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active disease.,"The recommended dose of Antiva® in chronic hepatitis B patients with adequate renal function is 10 mg, once daily, taken orally, without regard to food.",Antiva® Tablet: Each box contains 10 tablets in blister pack
Albendazole,Almex®,Antiparasite Preparations,Single or mixed intestinal infections caused by various helminths.,"12 to 24 months: 200 mg as a single dose (Half of Almex® 400 tablet or 5 ml Almex® suspension).
Adults & children (over 2 years): Ascariasis, enterobiasis, trichuriasis & hookworm infestation - 400 mg (One Almex® 400 tablet or 10 ml Almex® suspension) single dose. Strogyloidiasis or taeniasis - 400 mg once daily for three consecutive days. Giardiasis - 400 mg once daily for five days. Hydatid disease (Echinococcosis)-400 mg twice daily for 28 days. For cystic echinococcosis the 28-days course may be repeated after 14 days without treatment to a total of three treatment cycles. For alveolar echinococcosis, 400 mg twice daily for 28 days followed by 14 days without treatment may need to continue for months or years.","Almex® 400 Tablet: Each box contains 12×4’s tablets in blister pack.
Almex® Suspension: Each box contains 6’s 10 ml suspension in sealed cap bottle."
